,killWeight,collectWeight,jumpWeight,timeWeight,winWeight,loseWeight,total_kill,hurts,coins,jumps,target,silhouette
128,0,3,-3,0,-10,10,0.5074626865671641,0.35384615384615387,0.09090909090909091,0.125,2,0.6728716945554085
129,0,3,-1,-3,-10,10,0.3582089552238806,0.0,0.03636363636363637,0.29166666666666663,1,0.7418948432298461
130,0,3,-1,-1,-10,10,0.26865671641791045,0.0,0.0,0.16666666666666663,3,0.7614981417628919
131,0,3,-1,0,-10,10,0.47761194029850745,0.7538461538461539,0.07272727272727274,0.15000000000000002,2,0.7068188075176012
132,0,3,0,-3,-10,10,0.3134328358208955,0.015384615384615385,0.03636363636363637,0.9333333333333332,5,0.9063427108902496
133,0,3,0,-1,-10,10,0.3134328358208955,0.015384615384615385,0.03636363636363637,0.9333333333333332,5,0.9063427108902496
134,0,3,0,0,-10,10,0.26865671641791045,0.0,0.0,0.0,3,0.6854247877548946
135,1,-3,-3,-3,-10,10,0.08955223880597014,0.0,0.6909090909090909,0.5499999999999999,6,0.8284846993937844
136,1,-3,-3,-1,-10,10,0.13432835820895522,0.0,0.5636363636363637,0.3749999999999999,6,0.8305754147588773
137,1,-3,-3,0,-10,10,0.3731343283582089,0.4153846153846154,0.8363636363636363,0.31666666666666676,4,0.7159131033542504
138,1,-3,-1,-3,-10,10,0.08955223880597014,0.0,0.7090909090909091,0.6083333333333333,6,0.7992768772938696
139,1,-3,-1,-1,-10,10,0.05970149253731343,0.0,0.509090909090909,0.43333333333333324,6,0.8502000157722611
140,1,-3,-1,0,-10,10,0.3432835820895522,0.6153846153846154,0.8727272727272727,0.3749999999999999,4,0.7412098414375649
141,1,-3,0,-3,-10,10,0.04477611940298507,0.0,0.5818181818181819,0.42499999999999993,6,0.8698319832660447
142,1,-3,0,-1,-10,10,0.04477611940298507,0.0,0.5818181818181819,0.42499999999999993,6,0.8698319832660447
143,1,-3,0,0,-10,10,0.04477611940298507,0.5384615384615385,0.8,0.30833333333333324,6,0.6328033351684973
144,1,-1,-3,-3,-10,10,0.05970149253731343,0.0,0.5454545454545454,0.5333333333333333,6,0.8465789272081852
145,1,-1,-3,-1,-10,10,0.11940298507462686,0.0,0.49090909090909096,0.4,6,0.8253857636222297
146,1,-1,-3,0,-10,10,0.38805970149253727,0.676923076923077,0.9090909090909092,0.3833333333333332,4,0.7604778738126465
147,1,-1,-1,-3,-10,10,0.07462686567164178,0.0,0.7272727272727273,0.6,6,0.7987579438644878
148,1,-1,-1,-1,-10,10,0.08955223880597014,0.0,0.5636363636363637,0.5333333333333333,6,0.8476220825471692
149,1,-1,-1,0,-10,10,0.40298507462686567,0.38461538461538464,0.8727272727272727,0.31666666666666676,4,0.7261380530740782
150,1,-1,0,-3,-10,10,0.04477611940298507,0.0,0.5818181818181819,0.42499999999999993,6,0.8698319832660447
151,1,-1,0,-1,-10,10,0.04477611940298507,0.0,0.5818181818181819,0.42499999999999993,6,0.8698319832660447
152,1,-1,0,0,-10,10,0.014925373134328358,0.5076923076923077,0.8363636363636363,0.3666666666666666,6,0.6443074714738446
153,1,0,-3,-3,-10,10,0.05970149253731343,0.0,0.3090909090909091,0.3583333333333333,3,0.7516091835122137
154,1,0,-3,-1,-10,10,0.07462686567164178,0.0,0.3090909090909091,0.2833333333333333,3,0.7520995951312492
155,1,0,-3,0,-10,10,0.29850746268656714,0.36923076923076925,0.2727272727272727,0.09999999999999998,2,0.6387366457792758
